Title,Body,Labels,Hierarchy,Dev Priority,Analysis Complete,BestFit Engineer,Priority
"Epic: User Access & Onboarding","Streamlined onboarding for all user types","Epic","Epic","MVP","True","System Architect","High"
"Feature: Registration & Role Selection","Create account and choose role.","Feature","Feature","MVP","True","Frontend Developer","High"
"User Story: As a new user, I want to register with a role","So I can access the platform based on my needs.","User Story","User Story","MVP","True","Backend Developer","High"
"Task: Build registration form with role selection","Registration UI using Razor components.","Task","Task","MVP","True","Frontend Developer","High"
"Task: Validate inputs and submit via IAuthService.RegisterAsync","Call IAuthService.RegisterAsync from form.","Task","Task","MVP","True","Backend Developer","High"
"User Story: As a new user, I want to continue as Guest","So I can browse the app before registering.","User Story","User Story","MVP","True","Frontend Developer","Medium"
"Feature: Authentication (Login/Logout)","Secure token-based login and logout.","Feature","Feature","MVP","True","Backend Developer","High"
"User Story: As a returning user, I want to log in securely","To access my account.","User Story","User Story","MVP","True","Backend Developer","High"
"Task: Create Login.razor with MSAL integration to Azure AD B2C","Frontend login UI with AD B2C.","Task","Task","MVP","True","Frontend Developer","Medium"
"Task: Store token securely on device (via IStorageService) after login","Secure session persistence.","Task","Task","MVP","True","Mobile Developer","Medium"
"Task: Integrate AD B2C login flow with MAUI/Blazor via MSAL","Enable MAUI + MSAL login.","Task","Task","MVP","True","Mobile Developer","Medium"
"Task: Set up biometric login toggle & flow using IBiometricsService","Device-native biometric integration.","Task","Task","MVP","True","Mobile Developer","Medium"
"Task: Build minimal AdminPortalLogin.razor for early admin access","Early access admin login page.","Task","Task","MVP","True","Frontend Developer","Low"
"User Story: As a user, I want to be able to log out","To secure my session.","User Story","User Story","MVP","True","Backend Developer","Medium"
"User Story: As a returning user, I want to auto-login with a valid token","To skip manual login.","User Story","User Story","MVP","True","Mobile Developer","Medium"
"Feature: Forgot Password","Token-based password reset request.","Feature","Feature","MVP","True","Frontend Developer","Medium"
"User Story: As a user who forgot my password, I want a reset link","So I can recover access.","User Story","User Story","MVP","True","Frontend Developer","Medium"
"Task: Build ForgotPassword.razor and ResetPassword.razor","UI for requesting and confirming password reset.","Task","Task","MVP","True","Frontend Developer","Medium"
"Feature: Password Reset","Set new password with token validation.","Feature","Feature","MVP","True","Backend Developer","Medium"
"User Story: As a user with a reset token, I want to set a new password","So I can regain access.","User Story","User Story","MVP","True","Backend Developer","Medium"
"Task: Implement /auth/password-reset/request and /confirm","Password reset endpoints.","Task","Task","MVP","True","Backend Developer","Medium"
"Feature: Role-Based Onboarding Flow","Guide users through custom onboarding steps.","Feature","Feature","MVP","True","Frontend Developer","High"
"User Story: As a customer, I want to complete onboarding quickly","So I can book deliveries.","User Story","User Story","MVP","True","Frontend Developer","Medium"
"Task: Build CustomerOnboarding.razor","Customer registration form.","Task","Task","MVP","True","Frontend Developer","Medium"
"Task: Build PaymentMethod.razor for optional card addition during onboarding","Optional payment config.","Task","Task","MVP","True","Frontend Developer","Low"
"Task: Wire onboarding flow: RoleSelection → CustomerOnboarding → PaymentMethod → Redirect","End-to-end customer onboarding sequence.","Task","Task","MVP","True","Frontend Developer","Medium"
"Task: Write onboarding flow unit tests (role routing, form validation)","QA unit coverage for onboarding flow.","Task","Task","MVP","True","QA Engineer","Low"
"User Story: As a driver, I want to register my truck and license","So I can receive jobs.","User Story","User Story","MVP","True","Identity Engineer","Medium"
"Task: Build DriverOnboarding.razor","Input license and vehicle data.","Task","Task","MVP","True","Frontend Developer","Medium"
"Task: Wire onboarding flow: RoleSelection → DriverOnboarding → RequestFreight","End-to-end driver onboarding sequence.","Task","Task","MVP","True","Frontend Developer","Medium"
"User Story: As a store clerk, I want store-specific onboarding","So I can manage store deliveries.","User Story","User Story","MVP","True","Frontend Developer","Low"
"User Story: As a customer, I want to add a payment method during onboarding","To prepare for job payments.","User Story","User Story","MVP","True","Frontend Developer","Medium"
"Feature: Biometric Authentication","Use fingerprint or FaceID for login.","Feature","Feature","MVP","True","Mobile Developer","Medium"
"User Story: As a user, I want to authenticate via biometrics","So I can log in quickly.","User Story","User Story","MVP","True","Mobile Developer","Medium"
"User Story: As a user, I want to opt out of biometrics","So I can use password instead.","User Story","User Story","MVP","True","Mobile Developer","Low"
